Category,Metric,Value,Unit
Manuscript,Total_Words,32894,words
Manuscript,Total_Sections,36,sections
Manuscript,Total_Equations,10,equations
Manuscript,Total_Figures,0,figures
Manuscript,Total_References,19,references
Tests,Total_Tests,1030,tests
Tests,Total_Passed,1030,tests
Tests,Total_Failed,0,tests
Tests,Average_Coverage,94.7113556631897,percent
Tests,Total_Execution_Time,0.0,seconds
Pipeline,Total_Duration,6113.627460241318,seconds
Pipeline,Average_Duration,3056.813730120659,seconds
Pipeline,Total_Stages_Passed,11,stages
Pipeline,Total_Stages_Failed,1,stages
Outputs,Total_PDFs,1,files
Outputs,Total_Size_MB,2.8362607955932617,MB
Outputs,Total_Figures,16,files
Outputs,Total_Slides,15,files
Outputs,Total_Web,16,files
